Obs,Name,Age,War,AgeGroup
1,태조,73,Before,70대
2,정종,62,Before,60대
3,태종,45,Before,40대
4,세종,54,Before,50대
5,문종,38,Before,30대
6,단종,16,Before,10대
7,세조,51,Before,50대
8,예종,28,Before,20대
9,성종,37,Before,30대
10,연산군,30,Before,30대
11,중종,56,Before,50대
12,인종,30,Before,30대
13,명종,33,Before,30대
14,선조,56,Before,50대
15,광해군,66,After,60대
16,인조,54,After,50대
17,효종,40,After,40대
18,현종,33,After,30대
19,숙종,59,After,50대
20,경종,36,After,30대
21,영조,82,After,80대
22,정조,48,After,40대
23,순조,44,After,40대
24,헌종,22,After,20대
25,철종,32,After,30대
26,고종,67,After,60대
27,순종,52,After,50대
